Organization Name,Address,Full Address,Latitude,Longitude,City,State,Postcode,Main Phone #,Discipline,Council District,Community Board,Borough,Census Tract,BIN,BBL,NTA
"Blue Pipa, Inc.",68-39 Harrow Street,"68-39 Harrow Street, Forest Hills",40.7173019,-73.852923,Forest Hills,NY,11375,(718) 459-1730,Music,Queens Council District #29,Queens Community Board #6,Queens,709,4076410,4032000048,Forest Hills
Bnos Yakov Educational Center,638 Bedford Avenue,"638 Bedford Avenue, Brooklyn",40.7021038,-73.9591381,Brooklyn,NY,11211,(718) 963-1212 x101,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,537,3332990,3022100038,Williamsburg
Bohemian Benevolent and Literary Assocation of the City of New York,Bohemian National Hall,"Bohemian National Hall, New York",40.7690811,-73.9564804,New York,NY,10021,(212) 988-1733,Theater,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,,,,
"Bond Street Theatre Coalition, Ltd.","2 Bond Street, #4R","2 Bond Street, #4R, New York",40.7271096,-73.9945082,New York,NY,10012,(212) 254-4614,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,5502,1008504,1005300067,West Village
"Booklyn, Inc.",37 Greenpoint Avenue,"37 Greenpoint Avenue, New York",40.7299565,-73.9589895,New York,NY,11222,(718) 383-9621,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,565,3064672,3025570001,Greenpoint
"Boricua Festival Committee, Inc.","313 97th Street, #1B","313 97th Street, #1B, Brooklyn",40.6157284,-74.0337365,Brooklyn,NY,11209,(718) 492-7129,Music,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,5601,3155738,3061220001,Bay Ridge
Born Dancing.Inc.,812 W181 Street,"812 W181 Street, New York",40.850914,-73.939059,New York,NY,10033,(347) 256-3306,Dance,Manhattan Council District #10,Manhattan Community Board #12,Manhattan,265,1064299,1021770105,Washington Heights South
"Borough of Manhattan Community College Performing Arts Center, Inc.","199 Chambers Street, Room #S110C","199 Chambers Street, Room #S110C, New York",40.7174776,-74.0122933,New York,NY,10007,(212) 220-1459,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #1,Manhattan,39,1066406,1001420050,SoHo-TriBeCa-Civic Center-Little Italy
Boundless Theatre Company Inc.,41-21 42nd st,"41-21 42nd st, Sunnyside",40.7462553,-73.9216124,Sunnyside,NY,11104,(347) 724-3640,Theater,Queens Council District #26,Queens Community Board #2,Manhattan,,,,
Bowery Arts and Science,"310 Bowery, 2nd Floor","310 Bowery, 2nd Floor, New York",40.724983,-73.992671,New York,NY,10012,(212) 614-0504,Literature,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,5502,1008202,1005210077,West Village
"Bowne House Historical Society, Inc.",37-01 Bowne St.,"37-01 Bowne St., Flushing",40.7628984,-73.8249767,Flushing,NY,11354,(718) 359-0528,Architecture/Design,Queens Council District #20,Queens Community Board #7,Queens,865,4113403,4050130006,Flushing
"Box Turtle Press/Attitude Art, Inc.",94 Franklin Street,"94 Franklin Street, New York",40.7278724,-73.9571265,New York,NY,10013,(646) 246-3652,Literature,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,33,1001924,1001757504,SoHo-TriBeCa-Civic Center-Little Italy
"Boys & Girls Harbor, Inc.",1 East 104th Street,"1 East 104th Street, New York",40.7929785,-73.951568,New York,NY,10029,(212) 427-2244 x583,"Multi-Discipline, Performing",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,168,1051499,1016100001,East Harlem South
"Boys' Club of New York, Inc.",287 10th Street,"287 10th Street, New York",40.7281659,-73.9824447,New York,NY,10009,(212) 677-1102,Music,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,,,,
Braata Productions,11805 200th St,"11805 200th St, Saint Albans",40.6931766,-73.751735,Saint Albans,NY,11412,(917) 668-2209,Folk Arts,Queens Council District #27,Queens Community Board #12,Queens,376,4272042,4126290003,St. Albans
"Brave New World Repertory Theatre, Inc.",303 Westminster Road,"303 Westminster Road, Brooklyn",40.6415258,-73.9670934,Brooklyn,NY,11218,(917) 660-4660,Theater,Brooklyn Council District #40,Brooklyn Community Board #14,Brooklyn,1522,3118328,3051430102,Flatbush
"Brazilian Endowment for the Arts, Inc.",240E 52nd street,"240E 52nd street, New York",40.7563032,-73.9684729,New York,NY,10022,(212) 371-1556,Music,Manhattan Council District #5,Manhattan Community Board #5,Manhattan,98,1038479,1013250035,Turtle Bay-East Midtown
"Bread & Roses Cultural Project, Inc.","322 West 48th Street, 6th floor","322 West 48th Street, 6th floor, New York",40.7612771,-73.988192,New York,NY,10036,(212) 767-0025 x2,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,127,1025108,1010380043,Clinton
"Break A Leg Productions, Inc.",PO Box 20503,"PO Box 20503, New York",40.7127753,-74.0059728,New York,NY,10017,(212) 330-0406,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,,,,
"Breakthru Education, Inc.",235 Lincoln Place,"235 Lincoln Place, New York",40.675276,-73.9725509,New York,NY,11217,(718) 614-2289,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,159,3024463,3010590050,Park Slope-Gowanus
Brecht Forum,388 Atlantic Avenue,"388 Atlantic Avenue, Brooklyn",40.6869781,-73.9855567,Brooklyn,NY,11217,(212) 242-4201 x14,Other,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,,,,
"Brick Theater, Inc.",P.O. Box 1851,"P.O. Box 1851, New York",40.7127753,-74.0059728,New York,NY,10101,(917) 640-2119,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,,,,
"Bridge, Inc.","290 Lenox Avenue, 3rd Floor","290 Lenox Avenue, 3rd Floor, New York",40.8074063,-73.9453045,New York,NY,10027,(212) 663-3000,Visual Arts,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,200,1053487,1017220069,Central Harlem South
"Bridging Education and Art Together, Inc.",44-02 23rd St #301,"44-02 23rd St #301, Long Island City",40.7487407,-73.9447294,Long Island City,NY,11101,(718) 937-2328,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #2,Bronx,,,,
"Brighton Ballet Theater Company, Inc.",2001 Oriental Boulevard,"2001 Oriental Boulevard, Brooklyn",40.5778144,-73.9355607,Brooklyn,NY,11235,(718) 769-9161,Dance,Brooklyn Council District #48,Brooklyn Community Board #15,Brooklyn,616,3326937,3087600060,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"Brighton Neighborhood Association, Inc.",1121 Brighton Beach Avenue,"1121 Brighton Beach Avenue, Brooklyn",40.5779888,-73.9561801,Brooklyn,NY,11235,(718) 891-0800,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn,61004,3245642,3087160061,Brighton Beach
Bring to Light,200 East 10th Street,"200 East 10th Street, New york",40.7294595,-73.9864534,New york,NY,10003,(646) 345-1581,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #1,Brooklyn,,,,
Broadway Dance Lab,433 West 34th St.,"433 West 34th St., New York",40.754253,-73.9978162,New York,NY,10001,(646) 325-5389,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,111,1012858,1007320016,Hudson Yards-Chelsea-Flatiron-Union Square
"Broadway Housing Communities, Inc.",583 Riverside Drive,"583 Riverside Drive, New York",40.8212574,-73.9568995,New York,NY,10031,(212) 568-2030,Visual Arts,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,22301,1059949,1020020002,Manhattanville
"Broadway League Foundation, Inc.","729 Seventh Avenue, 5th Flr","729 Seventh Avenue, 5th Flr, New York",40.7602421,-73.983606,New York,NY,10019,(212) 764-1122,Theater,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,125,1022699,1010017501,Midtown-Midtown South
Broken Box Mime Theater,201 W 94th St. #1A,"201 W 94th St. #1A, New York",40.792996,-73.9715258,New York,NY,10025,(617) 877-8937,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,183,1033677,1012420029,Upper West Side
Bronx Arts Ensemble,"80 Van Cortlandt Park South, Ste. 7D-1","80 Van Cortlandt Park South, Ste. 7D-1, Bronx",40.8844196,-73.8908747,Bronx,NY,10463,(718) 601-7399,"Multi-Discipline, Performing",Bronx Council District #11,Bronx Community Board #8,Bronx,281,2015473,2032520209,Van Cortlandt Village
Bronx Children's Museum,PO Box 1381,"PO Box 1381, Bronx",40.8447819,-73.8648268,Bronx,NY,10451-9998,(347) 971-2155,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #8,Bronx Community Board #4,Bronx,,,,
Bronx Community Cable Programming Corp.,Lehman College,"Lehman College, Bronx",40.8733183,-73.8941395,Bronx,NY,10468,(718) 960-7158,Film/Video/Audio,Bronx Council District #11,Bronx Community Board #7,Bronx,409,2000000,2032470001,Van Cortlandt Village
"Bronx Community College Association, Inc.",2155 University Avenue,"2155 University Avenue, Bronx",40.8589792,-73.912661,Bronx,NY,10453,(718) 289-5127,Music,Bronx Council District #14,Bronx Community Board #5,Bronx,255,2014731,2032170060,Kingsbridge Heights
Bronx Conservatory of Music,P.O. Box 633,"P.O. Box 633, Bronx",40.8447819,-73.8648268,Bronx,NY,10469,(718) 841-7415,Music,Bronx Council District #14,Bronx Community Board #5,Bronx,,,,
Bronx Council on the Arts,1738 Hone Avenue,"1738 Hone Avenue, Bronx",40.8485918,-73.8543255,Bronx,NY,10461,(718) 931-9500 x17,"Multi-Discipline, Non-Perform",Bronx Council District #13,Bronx Community Board #11,Bronx,254,2044837,2041040001,Van Nest-Morris Park-Westchester Square
Bronx County Historical Society,3309 Bainbridge Avenue,"3309 Bainbridge Avenue, Bronx",40.8782505,-73.8797855,Bronx,NY,10467,(718) 881-8900,"Multi-Discipline, Non-Perform",Bronx Council District #11,Bronx Community Board #7,Bronx,419,2018096,2033380054,Norwood
"Bronx Dance Theatre, Inc.","585 East 187th Street, 2nd Floor","585 East 187th Street, 2nd Floor, Bronx",40.8559784,-73.8879313,Bronx,NY,10458,(718) 364-2725,Dance,Bronx Council District #15,Bronx Community Board #6,Bronx,389,2011907,2030660002,Belmont
Bronx Documentary Center,614 Courtlandt Ave,"614 Courtlandt Ave, Bronx",40.8180016,-73.9185899,Bronx,NY,10451,(718) 993-3512,Photography,Bronx Council District #17,Bronx Community Board #1,Bronx,67,2001658,2023980001,Melrose South-Mott Haven North
Bronx Hispanic Festival Inc,P.O. Box 1765,"P.O. Box 1765, New York",40.7127753,-74.0059728,New York,NY,10451,(917) 699-7598,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #14,Bronx Community Board #7,Bronx,,,,
"Bronx House, Inc.",990 Pelham Parkway South,"990 Pelham Parkway South, Bronx",40.856582,-73.8602632,Bronx,NY,10461,(718) 792-1800 x224,"Multi-Discipline, Performing",Bronx Council District #13,Bronx Community Board #11,Bronx,248,2088568,2043287501,Pelham Parkway
Bronx Museum of the Arts,1040 Grand Concourse,"1040 Grand Concourse, Bronx",40.8310038,-73.9197513,Bronx,NY,10456,(718) 681-6000,Visual Arts,Bronx Council District #16,Bronx Community Board #4,Bronx,18102,2002826,2024620001,East Concourse-Concourse Village
Bronx Opera Company,5 Minerva Place (2J),"5 Minerva Place (2J), Bronx",40.8713779,-73.8908154,Bronx,NY,10468,(718) 365-4209,Music,,Bronx Community Board #7,Bronx,40701,2017596,2033190064,Van Cortlandt Village
Bronx River Alliance,One Bronx River Parkway,"One Bronx River Parkway, Bronx",40.8471367,-73.8703751,Bronx,NY,10462,(718) 430-4665,Science,Bronx Council District #15,Bronx Community Board #11,Bronx,,,,
"Bronx River Art Center, Inc.",P.O. Box 5002,"P.O. Box 5002, New York",40.7127311,-74.0106865,New York,NY,10460,(718) 589-5819 x11,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #15,Bronx Community Board #6,Bronx,,,,
"Bronx Stage & Film Company, Inc.",P.O. Box 580-179,"P.O. Box 580-179, Bronx",40.8447819,-73.8648268,Bronx,NY,10458,(917) 250-6298,Film/Video/Audio,Bronx Council District #15,Bronx Community Board #6,Bronx,,,,
"Bronx Symphony Orchestra, Inc.",c/o Denise Orr,"c/o Denise Orr, Bronx",40.8447819,-73.8648268,Bronx,NY,10468,(718) 601-9151,Music,Bronx Council District #14,Bronx Community Board #8,Bronx,,,,
"BronxArtSpace, Inc.","305 East 140th St. , 1A","305 East 140th St. , 1A, New York City,Bronx",40.81183,-73.9247539,"New York City,Bronx",NY,10454,(718) 401-8144,Visual Arts,Bronx Council District #17,Bronx Community Board #1,Bronx,39,2000747,2023157501,Mott Haven-Port Morris
"BronxWorks, Inc.",60 East Tremont Avenue,"60 East Tremont Avenue, Bronx",40.8508816,-73.9081018,Bronx,NY,10453,(718) 365-0910 x25,"Multi-Discipline, Performing",Bronx Council District #14,Bronx Community Board #5,Bronx,23301,2007915,2028280020,Mount Hope
Brooklyn Academy of Music,30 Lafayette Avenue,"30 Lafayette Avenue, Brooklyn",40.686532,-73.9776769,Brooklyn,NY,11217,(718) 636-4111,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,35,3059185,3021110015,Fort Greene
"Brooklyn Art Incubator, Inc.",P. O. Box 20648,"P. O. Box 20648, New York",40.7127753,-74.0059728,New York,NY,11202,(718) 208-0525,Visual Arts,,,Brooklyn,,,,
Brooklyn Art Song Society,"60 East 8th Street, Apt. 30 E","60 East 8th Street, Apt. 30 E, New York",40.7308239,-73.9933112,New York,NY,10003,(917) 509-6258,Music,Manhattan Council District #1,Manhattan Community Board #2,Brooklyn,504,,,Windsor Terrace
"Brooklyn Arts Council, Inc.",20 Jay Street,"20 Jay Street, Brooklyn",40.7041895,-73.9867797,Brooklyn,NY,11201,(718) 625-0080 x222,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,21,3000010,3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
City Island Historical Society,P.O. Box 82,"P.O. Box 82, Bronx",40.8447819,-73.8648268,Bronx,NY,10464,(718) 885-1565,Museum,Bronx Council District #13,Bronx Community Board #10,Bronx,,,,
Brooklyn Arts Exchange,"421 Fifth Avenue, 3rd Fl.","421 Fifth Avenue, 3rd Fl., Brooklyn",40.7509622,-73.9827244,Brooklyn,NY,11215,(718) 832-0018,"Multi-Discipline, Performing",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,137,3021879,3009990001,Park Slope-Gowanus
"Brooklyn Ballet, Inc.",160 Schermerhorn St,"160 Schermerhorn St, Brooklyn",40.6892205,-73.9873238,Brooklyn,NY,11201,(718) 246-0146,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,43,3394335,3001700015,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"Brooklyn Book Festival, Inc.",249 Smith Street,"249 Smith Street, Brooklyn",40.6832508,-73.99261,Brooklyn,NY,11231,(718) 802-3901,Literature,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,75,3006697,3004150008,Carroll Gardens-Columbia Street-Red Hook
Brooklyn Botanic Garden Corporation,1000 Washington Avenue,"1000 Washington Avenue, Brooklyn",40.6666156,-73.9619802,Brooklyn,NY,11225,(718) 623-7200,Botanical,Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn,177,3337842,3011830001,park-cemetery-etc-Brooklyn
"Brooklyn Bridge Park Conservancy, Inc.",334 Furman Street,"334 Furman Street, Brooklyn",40.6942006,-73.9992819,Brooklyn,NY,11201,(718) 802-0603 x11,"Multi-Discipline, Non-Perform",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,301,3423338,3002450015,Brooklyn Heights-Cobble Hill
"Brooklyn Center for the Urban Environment, Inc.",168 7th St.,"168 7th St., Brooklyn",40.6728823,-73.990971,Brooklyn,NY,11215,(718) 788-8500,"Multi-Discipline, Non-Perform",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,121,3021771,3009960021,Park Slope-Gowanus
Brooklyn Chamber Music Society,49 Cheever Place,"49 Cheever Place, Brooklyn",40.6855458,-73.9994621,Brooklyn,NY,11231,(718) 858-3523,Music,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,49,3003770,3003220006,Carroll Gardens-Columbia Street-Red Hook
Brooklyn Children's Museum,145 Brooklyn Avenue,"145 Brooklyn Avenue, Brooklyn",40.6744006,-73.9439728,Brooklyn,NY,11213,(718) 735-4400,Museum,Brooklyn Council District #36,Brooklyn Community Board #8,Brooklyn,341,3031049,3012290001,Crown Heights North
"Brooklyn City Streetcar Company, Inc.","1360 Ocean Parkway, Ste. 6L","1360 Ocean Parkway, Ste. 6L, Brooklyn",40.6153364,-73.9693662,Brooklyn,NY,11230,(718) 314-0226,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #44,Brooklyn Community Board #12,Brooklyn,444,3172890,3065680033,Ocean Parkway South
Brooklyn Community Pride Center,"4 Metrotech, Ground Floor","4 Metrotech, Ground Floor, Brooklyn",40.6933541,-73.9838359,Brooklyn,NY,11201,(347) 889-7719,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,15,3319505,3020590001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Brooklyn Conservatory of Music,58 Seventh Avenue,"58 Seventh Avenue, Brooklyn",40.6759295,-73.9747154,Brooklyn,NY,11217,(718) 622-3300 x13,Music,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,159,3019495,3009480048,Park Slope-Gowanus
"Brooklyn Contemporary Chorus, Inc.",G.P.O. Box 3093,"G.P.O. Box 3093, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,11202,(718) 625-0305,Music,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,,,,
Brooklyn Film Society,180 South 4th Street,"180 South 4th Street, New York City",40.7109214,-73.9609174,New York City,NY,11211,(718) 388-4306,Film/Video/Audio,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn,523,3063463,3024467501,North Side-South Side
"Brooklyn Four Plus One, Inc.",P.O. Box 22872,"P.O. Box 22872, New York",40.7127753,-74.0059728,New York,NY,11202,(347) 713-5190,Music,Brooklyn Council District #46,Brooklyn Community Board #15,Brooklyn,,,,
Brooklyn Heights Music Society,P.O. Box 020-334,"P.O. Box 020-334, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,11202,(646) 496-3061,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,,,,
Brooklyn Historical Society,128 Pierrepont Street,"128 Pierrepont Street, Brooklyn",40.6947963,-73.992441,Brooklyn,NY,11201,(718) 222-4111 x239,Museum,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,502,3002006,3002430047,Brooklyn Heights-Cobble Hill
